"TFBS","Correlation","P_value","Adjusted_P_value","Null_Hypothesis"
"MYB33",0.00892062835219203,0.905658746581456,0.9858514737575,"Accept"
"MYB39",-0.128425522886229,0.0866608785454459,0.807920882388444,"Accept"
"MYB3R1",-0.0265683424043889,0.724064261007581,0.9858514737575,"Accept"
"MYB3R3",-0.0370609839272333,0.62233929604435,0.9858514737575,"Accept"
"MYB3R4",0.0506204349998314,0.500984086596172,0.976216233894167,"Accept"
"MYB3R5",-0.102716735188588,0.171233718507788,0.859837886506963,"Accept"
"MYB4",-0.108916728919314,0.14669109781507,0.834794437390061,"Accept"
"MYB40",-0.00588454885782351,0.937685659338833,0.9858514737575,"Accept"
"MYB41",-0.119902128458686,0.10988381722522,0.820522430561256,"Accept"
"MYB43",0.0156769178834693,0.835005464252828,0.9858514737575,"Accept"
"MYB44",-0.0216256504775301,0.773853452332286,0.9858514737575,"Accept"
"MYB46",-0.0555062055341157,0.460521160259853,0.976216233894167,"Accept"
"MYB49",0.0238825968653438,0.750990103625254,0.9858514737575,"Accept"
"MYB51",-0.0654041745434679,0.384382576700218,0.944828501469418,"Accept"
"MYB52",-0.0475581802444166,0.52726582163433,0.976216233894167,"Accept"
"MYB55",-0.12952917323519,0.0839650848531866,0.807920882388444,"Accept"
"MYB56",-0.0251329029871427,0.738415510076194,0.9858514737575,"Accept"
"MYB57",0.0204834105007864,0.785500547081582,0.9858514737575,"Accept"
"MYB58",-0.0881406965120269,0.240689318448491,0.890151564672227,"Accept"
"MYB59",-0.00293140684865451,0.968934342650504,0.987225569666554,"Accept"
"MYB60",-0.0493547680447116,0.511762533984189,0.976216233894167,"Accept"
"MYB61",-0.151971417738847,0.0422747195565812,0.742869364642466,"Accept"
"MYB62",0.0793354970833469,0.291121127936455,0.890151564672227,"Accept"
"MYB63",-0.107513749524489,0.151996711217536,0.834794437390061,"Accept"
"MYB65",-0.012223937716919,0.870986582976102,0.9858514737575,"Accept"
"MYB67",-0.140093595222864,0.06142437647532,0.807920882388444,"Accept"
"MYB70",-0.0444176810505588,0.554925021550203,0.976216233894167,"Accept"
"MYB73",0.0620316382675556,0.409424240498559,0.962035005747031,"Accept"
"MYB74",-0.0797953266065776,0.288324879467192,0.890151564672227,"Accept"
"MYB77",-0.0663493039027022,0.377535087873896,0.94116016587003,"Accept"
"MYB80",-0.126095407376159,0.092579956074708,0.807920882388444,"Accept"
"MYB81",-0.0477204226736818,0.525856088822623,0.976216233894167,"Accept"
"MYB83",-0.0990624671062545,0.187059534026371,0.867671968641295,"Accept"
"MYB88",-0.0483233081722226,0.520634379657348,0.976216233894167,"Accept"
"MYB92",-0.0354059377877732,0.63797775943329,0.9858514737575,"Accept"
"MYB93",-0.00763957880866112,0.9191567225883,0.9858514737575,"Accept"
"MYB94",-0.100760802903349,0.179576093505437,0.867671968641295,"Accept"
"MYB96",-0.0361477760595504,0.630947851231197,0.9858514737575,"Accept"
"MYB98",-0.0741355594669759,0.323998012990507,0.904228562912323,"Accept"
"MYB99",-0.125065010302707,0.0952980302970355,0.807920882388444,"Accept"
"MYC2",0.00748302082606204,0.920807983640749,0.9858514737575,"Accept"
"MYC4",0.130888155467378,0.0807385344837111,0.807920882388444,"Accept"
"MYR2",0.0383823209444578,0.609973785762297,0.9858514737575,"Accept"
"NAC002",-0.0297343694830587,0.692754986739663,0.9858514737575,"Accept"
"NAC004",-0.0913252092435839,0.224049501634084,0.890151564672227,"Accept"
"NAC005",0.0109800995952157,0.884016956269583,0.9858514737575,"Accept"
"NAC007",0.0271146593816552,0.718627139706887,0.9858514737575,"Accept"
"NAC010",-0.127420273618053,0.0891762036844192,0.807920882388444,"Accept"
"NAC011",-0.0470345412296429,0.531828752400788,0.976216233894167,"Accept"
"NAC013",-0.0897002259133792,0.23243560628638,0.890151564672227,"Accept"
"NAC016",-0.0240128350788634,0.7496771413729,0.9858514737575,"Accept"
"NAC017",0.0412814332582499,0.583230182411878,0.976216233894167,"Accept"
"NAC018",-0.0724946907641094,0.334851703157813,0.904228562912323,"Accept"
"NAC019",0.0163091165081251,0.828452396259144,0.9858514737575,"Accept"
"NAC020",-0.0436166581110425,0.562090720487643,0.976216233894167,"Accept"
"NAC025",-0.077074750912975,0.30513113124942,0.904228562912323,"Accept"
"NAC028",0.0412814332582499,0.583230182411878,0.976216233894167,"Accept"
"NAC029",-0.0414299562795074,0.58187480917062,0.976216233894167,"Accept"
"NAC031",-0.117814060862765,0.11625770138088,0.820522430561256,"Accept"
"NAC035",-0.0880163107958809,0.241356326587785,0.890151564672227,"Accept"
"NAC037",0.0271146593816552,0.718627139706887,0.9858514737575,"Accept"
"NAC038",-0.171706304078953,0.0215461051277077,0.742869364642466,"Accept"
"NAC043",-0.0525226178627764,0.485012169954796,0.976216233894167,"Accept"
"NAC045",-0.0026415738625941,0.972004536335405,0.987225569666554,"Accept"
"NAC046",0.0528479680509976,0.48230797960697,0.976216233894167,"Accept"
"NAC047",-0.143359873326952,0.0555578259423247,0.807920882388444,"Accept"
"NAC050",-0.0261849735375555,0.727887947853419,0.9858514737575,"Accept"
"NAC053",-0.0913252092435839,0.224049501634084,0.890151564672227,"Accept"
"NAC054",-0.104046157304928,0.165730034905709,0.858495574099163,"Accept"
"NAC055",0.00562705189716268,0.940407271449576,0.9858514737575,"Accept"
"NAC057",0.0412814332582499,0.583230182411878,0.976216233894167,"Accept"
"NAC058",-0.0122551081566794,0.870660473778603,0.9858514737575,"Accept"
"NAC062",-0.0905400929493193,0.22807410526605,0.890151564672227,"Accept"
"NAC071",-0.0677076506995723,0.367825350199646,0.935120878852255,"Accept"
"NAC073",-0.0442996642792722,0.555977975857501,0.976216233894167,"Accept"
"NAC075",-0.135684427411557,0.0701407816857953,0.807920882388444,"Accept"
"NAC076",0.0271146593816552,0.718627139706887,0.9858514737575,"Accept"
"NAC078",-0.0913252092435839,0.224049501634084,0.890151564672227,"Accept"
"NAC079",0.0468625455815893,0.533331819099746,0.976216233894167,"Accept"
"NAC083",-0.042553387460717,0.571670324843032,0.976216233894167,"Accept"
"NAC087",-0.0480896969453758,0.522654584471672,0.976216233894167,"Accept"
"NAC094",-0.0301531155738157,0.688651285283305,0.9858514737575,"Accept"
"NAC096",0.0412814332582499,0.583230182411878,0.976216233894167,"Accept"
"NAC098",-0.017820071378343,0.812839248692386,0.9858514737575,"Accept"
"NAC101",0.0271146593816552,0.718627139706887,0.9858514737575,"Accept"
"NAC103",-0.0962459428627034,0.199969238170468,0.890151564672227,"Accept"
"NAC105",0.00875966619819579,0.907353346472327,0.9858514737575,"Accept"
"NAC68",-0.00345266120961164,0.96341388687255,0.9858514737575,"Accept"
"NAC69",-0.16404759858977,0.0282125089223895,0.742869364642466,"Accept"
"NAC92",-0.0412917816513121,0.583135699028839,0.976216233894167,"Accept"
"NLP7",-0.197184246666403,0.00815243876388734,0.742869364642466,"Accept"
"NTL8",-0.0242897346935417,0.746888043894948,0.9858514737575,"Accept"
"NTL9",-0.0726487794166372,0.333822696799883,0.904228562912323,"Accept"
"NUC",-0.0528798637428462,0.482043312514373,0.976216233894167,"Accept"
"O2",0.167356240830269,0.0251426552684378,0.742869364642466,"Accept"
"OJ1058_F05.8",0.123537521767663,0.0994435453929252,0.807920882388444,"Accept"
"Os05g0437700",0.123537521767663,0.0994435453929252,0.807920882388444,"Accept"
"Os05g0497200",0.0589606796006464,0.433042428239908,0.976216233894167,"Accept"
"OsCCA1",0.0429224288642935,0.568336712282804,0.976216233894167,"Accept"
"OsEIL3",0.0674307950259103,0.369791755790792,0.935120878852255,"Accept"
"OsFBH1",0.00474689112766054,0.949715144280666,0.9858514737575,"Accept"
"OsI_08196",-0.100967262657066,0.17868162310616,0.867671968641295,"Accept"
"OsRR22",-0.0563745462129624,0.453524365888053,0.976216233894167,"Accept"
"OsTRBF3",-0.0275405181381469,0.714398614693726,0.9858514737575,"Accept"
"OsbZIP42",-0.0766670985069301,0.307703809148085,0.904228562912323,"Accept"
"OsbZIP69",0.0463986573088305,0.537396317231875,0.976216233894167,"Accept"
"OsbZIP77",0.0252323911094499,0.737417860400143,0.9858514737575,"Accept"
"P0510F09.23",-0.0275405181381469,0.714398614693726,0.9858514737575,"Accept"
"PC.MYB1",0.0042854334488222,0.954597949857347,0.9858514737575,"Accept"
"PHL1",0.0761099238878623,0.311243072598255,0.904228562912323,"Accept"
"PHL11",0.137581636810198,0.0662741832558415,0.807920882388444,"Accept"
"PHL12",-0.102110473466494,0.173788164077249,0.860373798213421,"Accept"
"PHL2",-0.123028675093004,0.100855772075383,0.807920882388444,"Accept"
"PHL4",0.0250344670987507,0.739403038148324,0.9858514737575,"Accept"
"PHL7",-0.0793647634940678,0.290942620370176,0.890151564672227,"Accept"
"PHYPADRAFT_173530",-0.042924627353968,0.568316880606949,0.976216233894167,"Accept"
"PHYPADRAFT_182268",-0.154202350729107,0.0393052516784522,0.742869364642466,"Accept"
"PHYPADRAFT_28324",-0.0556207636797147,0.459594676162764,0.976216233894167,"Accept"
"PHYPADRAFT_48267",-0.0330209272510188,0.660795940309005,0.9858514737575,"Accept"
"PHYPADRAFT_64121",0.00126709219360106,0.986569222134458,0.992809456070662,"Accept"
"PHYPA_008731",-0.0330209272510188,0.660795940309005,0.9858514737575,"Accept"
"PHYPA_011264",-0.0755083217544802,0.315094319871131,0.904228562912323,"Accept"
"PI",0.0619786970201184,0.409824854923483,0.962035005747031,"Accept"
"PIF3",0.0145470155112191,0.846745543794843,0.9858514737575,"Accept"
"PIF4",-0.0508324899082894,0.499189960635756,0.976216233894167,"Accept"
"PIF5",-0.0187316019724637,0.803455260662163,0.9858514737575,"Accept"
"PK00315.1",-0.0478114998842362,0.52506555241794,0.976216233894167,"Accept"
"PK01630.1",0.130888155467378,0.0807385344837111,0.807920882388444,"Accept"
"PK02532.1",0.0451171584685418,0.548704147810835,0.976216233894167,"Accept"
"PK03576.1",0.0280448713555361,0.709401918294608,0.9858514737575,"Accept"
"PK05451.1",0.0398342180585023,0.596512727800475,0.984827474550717,"Accept"
"PK06182.1",-0.195875785624168,0.00859428120755406,0.742869364642466,"Accept"
"PK06517.1",0.0280448713555361,0.709401918294608,0.9858514737575,"Accept"
"PK07858.1",0.0280448713555361,0.709401918294608,0.9858514737575,"Accept"
"PK08602.1",0.0297851778384911,0.692256586376363,0.9858514737575,"Accept"
"PK09021.1",0.0317826169740499,0.672769458570622,0.9858514737575,"Accept"
"PK09702.1",0.0237045386026555,0.752786307857777,0.9858514737575,"Accept"
"PK10344.1",-0.102236375320534,0.173255375743124,0.860373798213421,"Accept"
"PK15505.1",0.0902069538137995,0.229797156701761,0.890151564672227,"Accept"
"PK16335.1",-0.0568341894787318,0.449844924502246,0.976216233894167,"Accept"
"PK17878.1",-0.0288765674926694,0.701189283407516,0.9858514737575,"Accept"
"PK18009.1",0.112068966737157,0.135284019839343,0.820522430561256,"Accept"
"PK18401.1",0.0647669998505971,0.389041152984947,0.949638647737563,"Accept"
"PK18474.1",0.130888155467378,0.0807385344837111,0.807920882388444,"Accept"
"PK19363.1",0.00724849622583339,0.923282211853669,0.9858514737575,"Accept"
"PK19717.1",-0.0543568485148751,0.469873636533826,0.976216233894167,"Accept"
"PK21166.1",-0.151374344303266,0.0431006387347704,0.742869364642466,"Accept"
"PK21687.1",0.0795499661412781,0.289814687843642,0.890151564672227,"Accept"
"PK23829.1",-0.0122753322985939,0.87044889783269,0.9858514737575,"Accept"
"PK23964.1",-0.00505301289782803,0.946477010281349,0.9858514737575,"Accept"
"PK24205.1",0.0374816855519195,0.618390529176103,0.9858514737575,"Accept"
"PK24580.1",0.163663628524671,0.0285886892412105,0.742869364642466,"Accept"
"PK24978.1",0.15990757793669,0.0324998793281079,0.742869364642466,"Accept"
"PK25870.1",-0.0234034397016762,0.755826730001994,0.9858514737575,"Accept"
"PK27109.1",-0.0371754068545355,0.621264232198647,0.9858514737575,"Accept"
"PK27149.1",0.00121130763275927,0.987160469122892,0.992809456070662,"Accept"
"PK28565.1",-0.0577852101618331,0.442285533353999,0.976216233894167,"Accept"
"PLT1",-0.129450001340286,0.0841562030464924,0.807920882388444,"Accept"
"RAMOSA1",0.111163433032267,0.13848901271226,0.8250658977688,"Accept"
"RAP2.1",-0.117551565649131,0.117078950225606,0.820522430561256,"Accept"
"RAP2.10",0.00909523062686704,0.903821026012688,0.9858514737575,"Accept"
"RAP2.11",0.0531917343258963,0.479459574193789,0.976216233894167,"Accept"
"RAP2.12",-0.0758095776042675,0.313161920478933,0.904228562912323,"Accept"
"RAP2.3",-0.0476471723849236,0.526492327697953,0.976216233894167,"Accept"
"RAP2.4",-0.118799178528169,0.113215607827236,0.820522430561256,"Accept"
"RAP2.6",-0.00910486985233173,0.903719586204938,0.9858514737575,"Accept"
